纟	糹
吊灯	吊燈
发情	發情
当空	當空
布阵	佈陣
仰面	仰面
划线	劃線
后场	後場
出丑	出醜
典当	典當
永别	永別
水表	水錶
发家	發家
阴云	陰雲
履历	履歷
标杆	標杆
相干	相干
田里	田里
简朴	簡樸
人防	人防
大个	大個
板栗	板栗
喷发	噴發
胜于	勝於
不防	不防
烛台	燭臺
谋面	謀面
布鞋	布鞋
自荐	自薦
干涩	乾澀
糊口	餬口
长于	長於
考卷	考卷
致远	致遠
游移	游移
松林	松林
牙签	牙籤
台子	檯子
万方	萬方
跳板	跳板
吞并	吞併
真个	真個
江面	江面
志气	志氣
育才	育才
后辈	後輩
防灾	防災
吊装	吊裝
保荐	保薦
云雨	雲雨
奸诈	奸詐
后脑	後腦
薄板	薄板
发飙	發飆
并联	並聯
奸细	奸細
防锈	防鏽
面食	麵食
毫发	毫髮
等闲	等閒
捉奸	捉姦
吞咽	吞嚥
母后	母后
干系	干係
五脏	五臟
浪荡	浪蕩
八万	八萬
卷曲	捲曲
扎堆	紮堆
熔岩	熔岩
回天	回天
临别	臨別
签章	簽章
护发	護髮
鬼才	鬼才
盛赞	盛讚
咸菜	鹹菜
万世	萬世
堤防	堤防
回敬	回敬
花坛	花壇
女尸	女屍
晒干	晒乾
卷子	卷子
蓬松	蓬鬆
胡椒	胡椒
电汇	電匯
引致	引致
大干	大幹
产于	產於
尸首	屍首
黑云	黑雲
西周	西周
舍身	捨身
回神	回神
冲杀	衝殺
曾于	曾於
受托	受託
画板	畫板
划船	划船
闲事	閒事
摄制	攝製
设防	設防
螺杆	螺桿
慨叹	慨嘆
加注	加註
心志	心志
竭尽	竭盡
防暴	防暴
防弹	防彈
建党	建黨
发条	發條
发包	發包
对症	對症
万全	萬全
云游	雲遊
俯冲	俯衝
购并	購併
风干	風乾
假发	假髮
刻板	刻板
党派	黨派
蒙住	蒙住
死板	死板
游标	游標
下摆	下襬
当夜	當夜
根系	根系
俘获	俘獲
勤于	勤於
论据	論據
发冷	發冷
游园	遊園
制衡	制衡
尽到	盡到
敌后	敵後
干道	幹道
回笼	回籠
书后	書後
岩壁	巖壁
斗牛	鬥牛
票面	票面
补发	補發
拮据	拮据
斗法	鬥法
刊发	刊發
夜游	夜遊
哀叹	哀嘆
烟斗	煙斗
党风	黨風
奸淫	姦淫
万幸	萬幸
幅面	幅面
复数	複數
糊弄	糊弄
万历	萬曆
困局	困局
干将	幹將
擒获	擒獲
浮游	浮游
复述	複述
里拉	里拉
布施	佈施
面皮	面皮
复明	復明
后怕	後怕
承蒙	承蒙
干咳	乾咳
防区	防區
年历	年曆
茅台	茅臺
帘子	簾子
铺面	鋪面
万民	萬民
画布	畫布
心术	心術
旁白	旁白
布展	佈展
闲散	閒散
辟谣	闢謠
脏器	臟器
发源	發源
饭局	飯局
要冲	要衝
陆游	陸游
吻别	吻別
获释	獲釋
采药	採藥
发颤	發顫
云峰	雲峰
几号	幾號
台胞	臺胞
深谷	深谷
发痒	發癢
别恋	別戀
祈愿	祈願
预后	預後
联防	聯防
调回	調回
别国	別國
舍命	捨命
采花	採花
图鉴	圖鑑
砧板	砧板
冲床	衝牀
延后	延後
勃发	勃發
只许	只許
每回	每回
纤手	纖手
阔别	闊別
腌制	醃製
尼采	尼采
发夹	髮夾
祥云	祥雲
别论	別論
烹制	烹製
当庭	當庭
回手	回手
织布	織布
闲适	閒適
得志	得志
游弋	游弋
后患	後患
幻术	幻術
岩洞	巖洞
网坛	網壇
回执	回執
表里	表裏
试制	試製
制假	製假
致信	致信
扳回	扳回
杂症	雜症
房舍	房舍
注水	注水
躯干	軀幹
晃荡	晃蕩
党史	黨史
充饥	充飢
青苔	青苔
面团	麵團
划归	劃歸
制售	製售
古板	古板
阴历	陰曆
发福	發福
划清	劃清
不才	不才
里根	里根
尿布	尿布
布条	布條
摆正	擺正
游学	遊學
御寒	禦寒
面馆	麵館
浩荡	浩蕩
党群	黨群
发奋	發奮
干瘪	乾癟
回春	回春
预制	預製
里屋	裏屋
尸身	屍身
局域	局域
防寒	防寒
未卜	未卜
防患	防患
亭台	亭臺
门帘	門簾
摆到	擺到
残局	殘局
拍板	拍板
发髻	髮髻
夸赞	誇讚
夸耀	誇耀
周长	周長
单发	單發
蒙骗	矇騙
神坛	神壇
体征	體徵
谷地	谷地
余热	餘熱
恶斗	惡鬥
泰斗	泰斗
结余	結餘
白面	白面
松绑	鬆綁
甘于	甘於
干群	幹群
往复	往復
才情	才情
才学	才學
后尘	後塵
个把	個把
松子	松子
疏于	疏於
志趣	志趣
胶布	膠布
万古	萬古
旗杆	旗杆
面熟	面熟
党课	黨課
胡言	胡言
饥荒	饑荒
课表	課表
面额	面額
摆渡	擺渡
可叹	可歎
漏斗	漏斗
领回	領回
接获	接獲
赌局	賭局
复员	復員
连杆	連桿
扎营	紮營
吊桥	吊橋
奸臣	奸臣
武斗	武鬥
布防	佈防
面人	麵人
结扎	結紮
叹服	歎服
推托	推託
挤占	擠佔
大志	大志
师表	師表
云霞	雲霞
播发	播發
挨个	挨個
摆开	擺開
坯布	坯布
露台	露臺
绒布	絨布
烫发	燙髮
单于	單于
楼板	樓板
后撤	後撤
遍历	遍歷
凭据	憑據
阳历	陽曆
表征	表徵
斗胆	斗膽
脏腑	臟腑
晾干	晾乾
七万	七萬
三回	三回
冲剂	沖劑
云梯	雲梯
受雇	受僱
周济	賙濟
致残	致殘
荡妇	蕩婦
周天	周天
同党	同黨
通鉴	通鑑
月台	月臺
冲凉	沖涼
冲劲	衝勁
局促	侷促
历数	歷數
团里	團裏
折回	折回
赛制	賽制
情面	情面
回民	回民
楼台	樓臺
疏松	疏鬆
遗愿	遺願
当口	當口
党外	黨外
万福	萬福
发迹	發跡
防癌	防癌
夙愿	夙願
包干	包乾
御医	御醫
兴叹	興嘆
党报	黨報
辟邪	辟邪
布匹	布匹
板斧	板斧
面纸	面紙
嘱托	囑託
戏台	戲臺
空余	空餘
发酸	發酸
回礼	回禮
拉杆	拉杆
邮发	郵發
须发	鬚髮
干裂	乾裂
马术	馬術
历久	歷久
复国	復國
哄笑	鬨笑
汇兑	匯兌
融汇	融匯
尽速	盡速
布告	佈告
卢布	盧布
评卷	評卷
台长	臺長
星斗	星斗
展板	展板
拂面	拂面
夹板	夾板
只消	只消
后话	後話
益发	益發
志士	志士
占星	占星
胡来	胡來
批注	批註
肯干	肯幹
坐台	坐檯
莲台	蓮臺
惜别	惜別
秒表	秒錶
党籍	黨籍
哄抬	哄擡
后援	後援
谷子	穀子
余晖	餘暉
华发	華髮
采伐	採伐
吊死	吊死
胜局	勝局
游丝	游絲
准将	准將
案卷	案卷
枝干	枝幹
后妈	後媽
苔藓	苔蘚
多才	多才
后任	後任
斗笠	斗笠
后年	後年
烧制	燒製
工党	工黨
献丑	獻醜
有才	有才
面壁	面壁
发兵	發兵
海防	海防
防霉	防霉
贴面	貼面
当朝	當朝
天干	天干
十只	十隻
咽炎	咽炎
别家	別家
布道	佈道
获选	獲選
发慌	發慌
对局	對局
冲力	衝力
复函	覆函
创制	創製
高干	高幹
自夸	自誇
冲冲	沖沖
敢当	敢當
规制	規制
冲昏	沖昏
批斗	批鬥
断后	斷後
地坛	地壇
配发	配發
面面	面面
时局	時局
松涛	松濤
尽忠	盡忠
云母	雲母
党团	黨團
文才	文才
干粉	乾粉
几亿	幾億
洗面	洗面
参赞	參贊
穷尽	窮盡
御前	御前
干尸	乾屍
麻布	麻布
东岳	東嶽
弓弦	弓弦
搅局	攪局
挽歌	輓歌
直系	直系
续签	續簽
才俊	才俊
内奸	內奸
羞于	羞於
红岩	紅巖
叶面	葉面
干戈	干戈
并拢	併攏
钟点	鐘點
丑化	醜化
重托	重託
回教	回教
党旗	黨旗
隔板	隔板
万隆	萬隆
后跟	後跟
斜面	斜面
桥面	橋面
征召	徵召
周至	周至
干草	乾草
赞颂	讚頌
周详	周詳
红布	紅布
开卷	開卷
白术	白朮
表带	錶帶
干支	干支
卷宗	卷宗
只字	隻字
航向	航向
后置	後置
回电	回電
沉郁	沉鬱
闲杂	閒雜
球面	球面
挡板	擋板
松香	松香
未几	未幾
引荐	引薦
很丑	很醜
林冲	林沖
回溯	回溯
发狠	發狠
重游	重遊
离弦	離弦
赞歌	讚歌
胡人	胡人
采写	採寫
谷类	穀類
胡杨	胡楊
下咽	下嚥
复辟	復辟
历历	歷歷
历法	曆法
奸杀	姦殺
游艺	遊藝
好斗	好鬥
采石	採石
发紫	發紫
何干	何干
美丑	美醜
纤弱	纖弱
河面	河面
年表	年表
党参	黨參
秋后	秋後
征友	徵友
余波	餘波
台地	臺地
发案	發案
发落	發落
干果	乾果
高个	高個
里间	裏間
苦干	苦幹
丑事	醜事
松木	松木
殿后	殿後
筋斗	觔斗
甘当	甘當
径向	徑向
圆周	圓周
桅杆	桅杆
垮台	垮臺
采煤	採煤
通奸	通姦
燃尽	燃盡
哄抢	哄搶
话别	話別
准星	準星
上卷	上卷
干妈	乾媽
该当	該當
作别	作別
鞋面	鞋面
稳当	穩當
停当	停當
沂蒙	沂蒙
并立	並立
阿斗	阿斗
精舍	精舍
砂岩	砂岩
面见	面見
当量	當量
交卷	交卷
嫡系	嫡系
变局	變局
山岳	山嶽
余音	餘音
纸面	紙面
强占	強佔
农舍	農舍
才思	才思
后脚	後腳
我党	我黨
甚于	甚於
万金	萬金
松紧	鬆緊
卤味	滷味
快板	快板
干巴	乾巴
胡桃	胡桃
辞别	辭別
粗布	粗布
洒洒	灑灑
偶发	偶發
此致	此致
并轨	並軌
罗布	羅布
当值	當值
久别	久別
制表	製表
码表	碼表
纤巧	纖巧
妖术	妖術
采油	採油
绝后	絕後
党费	黨費
飘洒	飄灑
光面	光面
凭吊	憑弔
摆件	擺件
干流	幹流
并州	并州
正弦	正弦
占线	佔線
万顷	萬頃
板报	板報
余力	餘力
三板	三板
蒙羞	蒙羞
游水	游水
杆子	杆子
形制	形制
求才	求才
苍松	蒼松
旅舍	旅舍
书卷	書卷
结汇	結匯
卤水	鹵水
浮夸	浮誇
两回	兩回
珠帘	珠簾
霉变	霉變
请愿	請願
幕布	幕布
丁丑	丁丑
蒙恬	蒙恬
跟斗	跟斗
致密	緻密
矢志	矢志
街面	街面
复选	複選
城防	城防
征伐	征伐
干花	乾花
当班	當班
并网	併網
奸雄	奸雄
全才	全才
别针	別針
奸计	奸計
辛丑	辛丑
扇面	扇面
华里	華里
里手	裏手
准绳	準繩
当政	當政
手板	手板
悬吊	懸吊
猛冲	猛衝
哄骗	哄騙
发运	發運
万贯	萬貫
柴胡	柴胡
铲子	鏟子
显摆	顯擺
挂面	掛麵
九万	九萬
贯注	貫注
党羽	黨羽
征讨	征討
采血	採血
腰杆	腰桿
尽欢	盡歡
奸人	奸人
致函	致函
万有	萬有
复命	覆命
空当	空當
就里	就裏
发配	發配
胡诌	胡謅
酿制	釀製
举荐	舉薦
里子	裏子
母系	母系
里弄	里弄
采掘	採掘
灶台	竈臺
拳术	拳術
方志	方誌
胡话	胡話
庄周	莊周
创面	創面
面点	麵點
布控	佈控
诀别	訣別
面盆	麵盆
明志	明志
万难	萬難
败局	敗局
钳制	鉗制
咸味	鹹味
签注	簽註
挂钟	掛鐘
稀松	稀鬆
布点	佈點
谷雨	穀雨
浇注	澆注
松口	鬆口
礼赞	禮讚
乙丑	乙丑
凝注	凝注
闲心	閒心
骑术	騎術
云贵	雲貴
跳台	跳臺
溪谷	溪谷
花布	花布
钟离	鍾離
安于	安於
长卷	長卷
无余	無餘
后起	後起
托架	托架
入云	入雲
火并	火併
交游	交遊
台联	臺聯
别称	別稱
防冻	防凍
葱郁	蔥鬱
脏乱	髒亂
支局	支局
复工	復工
雇人	僱人
剖面	剖面
发式	髮式
制革	製革
雇工	雇工
发端	發端
里海	裏海
防暑	防暑
蒙人	矇人
癸丑	癸丑
复归	復歸
泼洒	潑灑
汤面	湯麵
当差	當差
斗鸡	鬥雞
专才	專才
验尸	驗屍
采茶	採茶
尸检	屍檢
收尸	收屍
云散	雲散
采撷	採擷
糨糊	糨糊
附后	附後
公干	公幹
余味	餘味
东周	東周
优游	優遊
洒水	灑水
床板	牀板
斗艳	鬥豔
奇志	奇志
译注	譯註
诱奸	誘姦
后母	後母
拟于	擬於
偷闲	偷閒
捆扎	捆紮
语汇	語彙
制糖	製糖
注脚	註腳
余数	餘數
远游	遠遊
己丑	己丑
白干	白乾
脚板	腳板
肉松	肉鬆
剪发	剪髮
台布	檯布
械斗	械鬥
发昏	發昏
巨制	巨製
复写	複寫
炒面	炒麵
板车	板車
淳于	淳于
单干	單幹
馥郁	馥郁
咣当	咣噹
余震	餘震
切面	切面
回赠	回贈
历朝	歷朝
准头	準頭
郁结	鬱結
发还	發還
脏水	髒水
囿于	囿於
棱镜	稜鏡
偏旁	偏旁
干湿	乾溼
寒舍	寒舍
腰板	腰板
岩画	巖畫
后妃	后妃
表兄	表兄
复检	複檢
布设	佈設
周章	周章
云雀	雲雀
干瘦	乾瘦
吊唁	弔唁
防磁	防磁
舰只	艦隻
失当	失當
准尉	准尉
发胀	發脹
枪托	槍托
发令	發令
游街	遊街
云气	雲氣
斗室	斗室
干柴	乾柴
周朝	周朝
夸口	誇口
万代	萬代
停发	停發
闲钱	閒錢
乒坛	乒壇
表盘	錶盤
消闲	消閒
华表	華表
云杉	雲杉
米面	米麵
驻防	駐防
回嘴	回嘴
高云	高雲
熨斗	熨斗
亲征	親征
岩层	岩層
铁面	鐵面
蛋卷	蛋捲
英制	英制
竹签	竹籤
扎眼	扎眼
发晕	發暈
卷筒	捲筒
衬里	襯裏
旁路	旁路
悲叹	悲嘆
撤防	撤防
急症	急症
钟馗	鍾馗
制宪	制憲
发愿	發願
术科	術科
次于	次於
奸污	姦汙
秋游	秋遊
诗坛	詩壇
印鉴	印鑑
干渴	乾渴
当权	當權
遗志	遺志
收汇	收匯
头面	頭面
棉签	棉籤
中签	中籤
经卷	經卷
卤素	鹵素
余韵	餘韻
发臭	發臭
春卷	春捲
当堂	當堂
倒台	倒臺
危局	危局
愁云	愁雲
回禀	回稟
向心	向心
电杆	電杆
据闻	據聞
岩溶	岩溶
回生	回生
板油	板油
余量	餘量
余孽	餘孽
怀表	懷錶
明鉴	明鑑
脏字	髒字
编发	編發
贤才	賢才
闭卷	閉卷
县志	縣誌
伴游	伴遊
才人	才人
吁吁	吁吁
复婚	復婚
复垦	復墾
御敌	禦敵
马扎	馬紮
捧杯	捧杯
尽孝	盡孝
发奖	發獎
笔杆	筆桿
归并	歸併
轧制	軋製
身板	身板
节余	節餘
俭朴	儉樸
奸情	姦情
案板	案板
农闲	農閒
发函	發函
制伏	制伏
夸父	夸父
蛮干	蠻幹
脚面	腳面
吊环	吊環
并茂	並茂
舌苔	舌苔
摇荡	搖盪
回文	迴文
抗御	抗禦
管弦	管弦
结发	結髮
小别	小別
烧杯	燒杯
现汇	現匯
钟鼓	鐘鼓
和局	和局
吊挂	吊掛
别号	別號
后汉	後漢
回环	迴環
回师	回師
评注	評註
战云	戰雲
字汇	字彙
面巾	面巾
阐发	闡發
远志	遠志
托词	託詞
御赐	御賜
庸才	庸才
统制	統制
闲扯	閒扯
霉味	霉味
干校	幹校
余威	餘威
帝制	帝制
鬓发	鬢髮
胡琴	胡琴
老几	老幾
面筋	麵筋
碰杯	碰杯
冲毁	沖毀
余粮	餘糧
考据	考據
后手	後手
汇流	匯流
魏征	魏徵
宜于	宜於
茅舍	茅舍
脾脏	脾臟
帘幕	簾幕
赤松	赤松
发怔	發怔
回迁	回遷
扎染	紮染
还愿	還願
托人	託人
顶板	頂板
篮坛	籃壇
干贝	乾貝
干货	乾貨
台基	臺基
蓝布	藍布
游憩	遊憩
海苔	海苔
回水	回水
获罪	獲罪
当啷	噹啷
公制	公制
牌局	牌局
饥民	饑民
一准	一準
上弦	上弦
厚朴	厚朴
扼制	扼制
洒泪	灑淚
译制	譯製
赋闲	賦閒
表叔	表叔
短板	短板
终局	終局
尸骸	屍骸
画坛	畫壇
转台	轉臺
冲垮	沖垮
发汗	發汗
丑角	丑角
权术	權術
打制	打製
复线	複線
将才	將才
舍下	舍下
云锦	雲錦
设局	設局
松针	松針
回火	回火
北周	北周
喟叹	喟嘆
复利	複利
复诊	複診
占住	佔住
奸贼	奸賊
托收	託收
闲居	閒居
塔吊	塔吊
高才	高才
停摆	停擺
旧制	舊制
宏愿	宏願
手卷	手卷
丧钟	喪鐘
束发	束髮
并吞	併吞
冲服	沖服
咨文	咨文
拜别	拜別
钟摆	鐘擺
竹帘	竹簾
复学	復學
滥发	濫發
回函	回函
红松	紅松
刨冰	鉋冰
嗟叹	嗟歎
余弦	餘弦
哄然	哄然
周代	周代
请托	請託
吊床	吊牀
炒汇	炒匯
采买	採買
二板	二板
征象	徵象
角斗	角鬥
荡涤	盪滌
铲车	鏟車
蒙昧	蒙昧
棋坛	棋壇
回潮	回潮
御驾	御駕
发胶	髮膠
回返	回返
才貌	才貌
发辫	髮辮
划界	劃界
水帘	水簾
板牙	板牙
云鬓	雲鬢
砚台	硯臺
万状	萬狀
国术	國術
居里	居里
回填	回填
饥寒	飢寒
进占	進佔
致伤	致傷
谷仓	穀倉
纤柔	纖柔
蒙尘	蒙塵
发愤	發憤
周知	周知
松果	松果
吊兰	吊蘭
卜卦	卜卦
铲平	剷平
低回	低迴
近旁	近旁
垂帘	垂簾
削发	削髮
誓愿	誓願
干饭	乾飯
寓于	寓於
扣发	扣發
谱系	譜系
脑干	腦幹
蒙混	蒙混
干酪	乾酪
会签	會簽
采办	採辦
托梦	託夢
发急	發急
划拳	划拳
北岳	北嶽
据守	據守
通才	通才
复评	複評
松土	鬆土
周正	周正
咏叹	詠歎
西岳	西嶽
面糊	麵糊
岳家	岳家
别字	別字
旁系	旁系
来复	來復
承当	承當
旁门	旁門
枯干	枯乾
冲程	衝程
苦斗	苦鬥
猪舍	豬舍
回炉	回爐
回送	回送
复姓	複姓
世系	世系
各别	各別
纤毫	纖毫
辟谷	辟穀
底里	底裏
反党	反黨
向背	向背
余党	餘黨
页岩	頁岩
姜汤	薑湯
墓志	墓誌
帆板	帆板
郁积	鬱積
咽气	嚥氣
刨床	鉋牀
纤夫	縴夫
征调	徵調
松花	松花
涤荡	滌盪
父系	父系
干渠	幹渠
余兴	餘興
民防	民防
弦歌	弦歌
借据	借據
死别	死別
防老	防老
后肢	後肢
烟卷	煙捲
后娘	後娘
压板	壓板
肺脏	肺臟
鼻咽	鼻咽
枪杆	槍桿
冲积	沖積
雇请	僱請
回波	回波
胡搞	胡搞
恩准	恩准
摆谱	擺譜
冲销	沖銷
云头	雲頭
劈面	劈面
入托	入託
布谷	布穀
编后	編後
贪杯	貪杯
总后	總後
挽联	輓聯
垫板	墊板
洪钟	洪鐘
卷尺	捲尺
藏历	藏曆
编钟	編鐘
松脂	松脂
尽然	盡然
夸克	夸克
游逛	遊逛
安闲	安閒
退党	退黨
扎手	扎手
韵致	韻致
油布	油布
托孤	託孤
谜面	謎面
本愿	本願
吊钩	吊鉤
蒙语	蒙語
胡笳	胡笳
荡平	蕩平
白卷	白卷
发面	發麵
横杆	橫杆
闲书	閒書
音准	音準
图板	圖板
里脊	裏脊
无干	無干
局子	局子
鼓荡	鼓盪
三弦	三弦
词表	詞表
云图	雲圖
回纥	回紇
磨制	磨製
复现	復現
里层	裏層
万籁	萬籟
奸邪	奸邪
落发	落髮
后周	後周
嗣后	嗣後
丑行	醜行
回见	回見
艺坛	藝壇
衬布	襯布
表嫂	表嫂
舢板	舢板
党办	黨辦
蒙冤	蒙冤
雄才	雄才
山系	山系
旁证	旁證
中岳	中嶽
奸佞	奸佞
吊扇	吊扇
干菜	乾菜
才识	才識
干冰	乾冰
复职	復職
发菜	髮菜
游兴	遊興
划艇	划艇
辩才	辯才
局外	局外
轻闲	輕閒
症候	症候
胰脏	胰臟
旧历	舊曆
复验	複驗
发蓝	發藍
别传	別傳
面汤	麵湯
灯台	燈臺
花卷	花捲
台柱	臺柱
土布	土布
游医	游醫
皂角	皂角
老表	老表
苍术	蒼朮
照准	照準
后唐	後唐
发指	髮指
顺当	順當
层云	層雲
包谷	包穀
云豹	雲豹
瓦当	瓦當
西历	西曆
回锅	回鍋
儒术	儒術
后顾	後顧
叛党	叛黨
字据	字據
濒于	瀕於
发怵	發怵
拆台	拆臺
复刊	復刊
板鸭	板鴨
撞钟	撞鐘
换防	換防
塔台	塔臺
集注	集註
卤菜	滷菜
面善	面善
积郁	積鬱
冲喜	沖喜
了局	了局
光杆	光桿
霉烂	霉爛
扎针	扎針
回肠	迴腸
球台	球檯
表亲	表親
阴干	陰乾
换汇	換匯
夏历	夏曆
致哀	致哀
余暇	餘暇
邻舍	鄰舍
砂布	砂布
发妻	髮妻
被里	被裏
归向	歸向
闲气	閒氣
回绕	迴繞
花台	花臺
绑扎	綁紮
才略	才略
布帛	布帛
咸肉	鹹肉
草签	草簽
相术	相術
饥馑	饑饉
洋面	洋麵
吁请	籲請
划拉	劃拉
凉台	涼臺
摆阔	擺闊
占先	佔先
松脆	鬆脆
油松	油松
提干	提幹
拳坛	拳壇
特准	特准
吊索	吊索
表语	表語
末后	末後
挽手	挽手
棱柱	稜柱
万端	萬端
相面	相面
叹惜	嘆惜
格致	格致
羽坛	羽壇
起吊	起吊
罗致	羅致
朋党	朋黨
复课	復課
谷草	穀草
基干	基幹
准保	準保
姜黄	薑黃
复信	覆信
当令	當令
发轫	發軔
表字	表字
发祥	發祥
卜筮	卜筮
霉气	霉氣
昆布	昆布
土制	土製
续弦	續絃
称愿	稱願
哗变	譁變
游廊	遊廊
纤毛	纖毛
丧志	喪志
萦回	縈迴
挟制	挾制
钻杆	鑽桿
方术	方術
风致	風致
几折	幾折
复音	複音
发蒙	發矇
洒扫	灑掃
划桨	划槳
奸猾	奸猾
岳丈	岳丈
旁支	旁支
松劲	鬆勁
党龄	黨齡
松仁	松仁
布头	布頭
复旧	復舊
系谱	系譜
杆秤	桿秤
蒙药	蒙藥
客舍	客舍
回门	回門
圆台	圓臺
板壁	板壁
病征	病徵
余烬	餘燼
风发	風發
防旱	房旱
蒙族	蒙族
脚注	腳註
党魁	黨魁
党徽	黨徽
蒙难	蒙難
蓊郁	蓊鬱
镜台	鏡臺
发薪	發薪
相托	相託
复会	復會
座钟	座鐘
谁个	誰個
干冷	乾冷
云汉	雲漢
胡麻	胡麻
颂赞	頌讚
全托	全託
发榜	發榜
假托	假託
被面	被面
余毒	餘毒
毛布	毛布
净尽	淨盡
丑时	丑時
关防	關防
舒卷	舒捲
传布	傳佈
竹板	竹板
复叶	複葉
板条	板條
彤云	彤雲
台盟	臺盟
谷粒	穀粒
表土	表土
朴质	樸質
干结	乾結
帘布	帘布
银杯	銀杯
鸡奸	雞姦
党徒	黨徒
别绪	別緒
苍郁	蒼鬱
锋面	鋒面
发痴	發癡
折冲	折衝
波谷	波谷
才力	才力
遮丑	遮醜
锄奸	鋤奸
表舅	表舅
流荡	流蕩
复种	複種
后嗣	後嗣
裱糊	裱糊
刨花	鉋花
吊桶	吊桶
搓板	搓板
后梁	後梁
量杯	量杯
素朴	素樸
印台	印臺
虏获	虜獲
起获	起獲
复句	複句
党纲	黨綱
猎获	獵獲
征候	徵候
朴拙	樸拙
丝弦	絲絃
布店	布店
防地	防地
棱锥	稜錐
历书	曆書
旁注	旁註
杯葛	杯葛
腥膻	腥羶
面塑	麵塑
丑剧	醜劇
复壮	復壯
墨斗	墨斗
发蜡	髮蠟
奸险	奸險
征购	徵購
饥肠	飢腸
克复	克復
夏布	夏布
台步	臺步
饯别	餞別
京胡	京胡
中局	中局
龙钟	龍鍾
游伴	遊伴
帮闲	幫閑
余缺	餘缺
台秤	臺秤
摆子	擺子
征募	徵募
闲荡	閒蕩
工余	工餘
复眼	複眼
数制	數制
熏制	熏製
面洽	面洽
系念	繫念
台属	臺屬
付托	付託
征尘	征塵
腹面	腹面
日托	日託
表针	錶針
面谢	面謝
征发	徵發
币制	幣制
赞语	讚語
冬闲	冬閒
吊丧	弔喪
锅台	鍋臺
阴面	陰面
佣工	傭工
赞佩	讚佩
整党	整黨
向隅	向隅
撑杆	撐杆
荐举	薦舉
斗方	斗方
皇历	皇曆
细布	細布
丢丑	丟醜
闲职	閒職
侨汇	僑匯
雇农	雇農
泳坛	泳壇
采种	採種
卜辞	卜辭
幽咽	幽咽
缓征	緩徵
复视	複視
修面	修面
炉台	爐臺
套汇	套匯
卤化	鹵化
扎花	扎花
逛荡	逛蕩
赏鉴	賞鑑
握别	握別
信汇	信匯
葛布	葛布
快当	快當
表记	表記
冲蚀	沖蝕
凹面	凹面
赠别	贈別
表链	錶鏈
系词	系詞
卜居	卜居
发糕	發糕
实据	實據
浮荡	浮蕩
屈才	屈才
墩布	墩布
砾岩	礫岩
船台	船臺
御侮	禦侮
拿获	拿獲
干才	幹才
表册	表冊
后灯	後燈
职别	職別
皂化	皂化
抽咽	抽咽
曲霉	麴黴
市制	市制
四旁	四旁
花托	花托
发排	發排
积云	積雲
大别	大別
晤面	晤面
晒台	晒臺
卷舌	捲舌
笃志	篤志
虚夸	虛誇
铺板	鋪板
当票	當票
占卦	占卦
胡蜂	胡蜂
巧干	巧幹
刨刀	鉋刀
称叹	稱歎
浮面	浮面
云量	雲量
征聘	徵聘
岩盐	岩鹽
注文	註文
塔钟	塔鐘
旁及	旁及
皂白	皁白
板胡	板胡
刨根	刨根
挂表	掛錶
硬面	硬麵
秤杆	秤桿
长霉	長霉
岩心	岩心
采录	採錄
回拜	回拜
移防	移防
预卜	預卜
调防	調防
闾里	閭里
斗车	斗車
板刷	板刷
盐卤	鹽滷
卷须	捲鬚
抓周	抓週
拍发	拍發
冲决	沖決
表尺	表尺
乡愿	鄉愿
胡适	胡適
科系	科系
党部	黨部
限于	限於
评鉴	評鑑
台东	臺東
海淀	海淀
干城	干城
台州	台州
回目	回目
面的	麵的
获致	獲致
松江	松江
异于	異於
举发	舉發
个展	個展
武松	武松
合于	合於
告发	告發
据以	據以
后羿	后羿
几万	幾萬
盗采	盜採
仅只	僅只
斩获	斬獲
求签	求籤
向学	向學
寻获	尋獲
个中	個中
摆荡	擺盪
台中	臺中
高胡	高胡
诉愿	訴願
立于	立於
后半	後半
党国	黨國
咸丰	咸豐
台南	臺南
回航	回航
世局	世局
片岩	片岩
有致	有致
近于	近於
棋局	棋局
有闲	有閒
阿里	阿里
的当	的當
当是	當是
惯于	慣於
失准	失準
据实	據實
采信	採信
拾获	拾獲
万国	萬國
神游	神遊
游魂	游魂
天台	天臺
肉干	肉乾
周会	週會
余光	餘光
复本	複本
划一	劃一
了当	了當
于今	於今
回跌	回跌
才具	才具
朴直	樸直
发抒	發抒
斗六	斗六
稽征	稽徵
情致	情致
内斗	內鬥
上回	上回
殷鉴	殷鑑
签筒	籤筒
荡然	蕩然
理当	理當
空荡	空蕩
改回	改回
干政	干政
挹注	挹注
转系	轉系
窃据	竊據
个位	個位
戒坛	戒壇
公余	公餘
缉获	緝獲
党证	黨證
密云	密雲
后仰	後仰
自个	自個
后心	後心
查表	查表
停板	停板
品系	品系
击发	擊發
庶几	庶幾
馆舍	館舍
发闷	發悶
进制	進制
才分	才分
回游	迴游
陈尸	陳屍
帮佣	幫傭
回历	回曆
余年	餘年
余温	餘溫
余钱	餘錢
转注	轉註
猝发	猝發
拨发	撥發
锅铲	鍋鏟
刨子	鉋子
吊孝	弔孝
鉴戒	鑑戒
匡复	匡復
签条	籤條
邮汇	郵匯
雨布	雨布
皂隶	皁隸
纤绳	縴繩
寿面	壽麵
划子	划子
诱致	誘致
意表	意表
征引	徵引
咸阳	咸陽
丰台	豐臺
徐汇	徐匯
点钟	點鐘
始于	始於
十里	十里
余姚	餘姚
松原	松原
三里	三里
龙岩	龍巖
仪征	儀徵
